SubjectNumber,SubjectOrder,Condition,item,RESP,CRESP,ACC,RespNum,Test,TestType,Phrase,PhraseNum
88,11,EightyNew,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
90,12,EightyNew,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
91,13,EightyNew,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
94,14,EightyNew,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
96,15,EightyNew,resp6test1,1,2,0,resp6,test1,Predictive,NonPhrase,NA
101,16,EightyNew,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
103,17,EightyNew,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
104,18,EightyNew,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
105,19,EightyNew,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
110,20,EightyNew,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
30,1,EightyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
31,2,EightyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
32,3,EightyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
33,4,EightyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
34,5,EightyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
35,6,EightyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
36,7,EightyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
37,8,EightyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
38,9,EightyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
39,10,EightyOld,resp6test1,1,2,0,resp6,test1,Predictive,NonPhrase,NA
47,11,EightyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
48,12,EightyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
50,13,EightyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
55,14,EightyOld,resp6test1,1,2,0,resp6,test1,Predictive,NonPhrase,NA
56,15,EightyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
59,16,EightyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
60,17,EightyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
62,18,EightyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
65,19,EightyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
100,20,EightyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
63,1,SixtyOld,resp6test1,1,2,0,resp6,test1,Predictive,NonPhrase,NA
64,2,SixtyOld,resp6test1,1,2,0,resp6,test1,Predictive,NonPhrase,NA
67,3,SixtyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
68,4,SixtyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
69,5,SixtyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
70,6,SixtyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
71,7,SixtyOld,resp6test1,1,2,0,resp6,test1,Predictive,NonPhrase,NA
72,8,SixtyOld,resp6test1,1,2,0,resp6,test1,Predictive,NonPhrase,NA
73,9,SixtyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
74,10,SixtyOld,resp6test1,1,2,0,resp6,test1,Predictive,NonPhrase,NA
75,11,SixtyOld,resp6test1,1,2,0,resp6,test1,Predictive,NonPhrase,NA
76,12,SixtyOld,resp6test1,1,2,0,resp6,test1,Predictive,NonPhrase,NA
92,13,SixtyOld,resp6test1,1,2,0,resp6,test1,Predictive,NonPhrase,NA
95,14,SixtyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
102,15,SixtyOld,resp6test1,1,2,0,resp6,test1,Predictive,NonPhrase,NA
106,16,SixtyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
107,17,SixtyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
108,18,SixtyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
109,19,SixtyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
111,20,SixtyOld,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
77,1,EightyNew,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
78,2,EightyNew,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
79,3,EightyNew,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
81,4,EightyNew,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
82,5,EightyNew,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
83,6,EightyNew,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
84,7,EightyNew,resp1test2,2,1,0,resp1,test2,Predictive,NonPhrase,NA
85,8,EightyNew,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
86,9,EightyNew,resp1test2,2,1,0,resp1,test2,Predictive,NonPhrase,NA
87,10,EightyNew,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
88,11,EightyNew,resp1test2,2,1,0,resp1,test2,Predictive,NonPhrase,NA
90,12,EightyNew,resp1test2,2,1,0,resp1,test2,Predictive,NonPhrase,NA
91,13,EightyNew,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
94,14,EightyNew,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
96,15,EightyNew,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
101,16,EightyNew,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
103,17,EightyNew,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
104,18,EightyNew,resp1test2,2,1,0,resp1,test2,Predictive,NonPhrase,NA
105,19,EightyNew,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
110,20,EightyNew,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
30,1,EightyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
31,2,EightyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
32,3,EightyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
33,4,EightyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
34,5,EightyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
35,6,EightyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
36,7,EightyOld,resp1test2,2,1,0,resp1,test2,Predictive,NonPhrase,NA
37,8,EightyOld,resp1test2,2,1,0,resp1,test2,Predictive,NonPhrase,NA
38,9,EightyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
39,10,EightyOld,resp1test2,2,1,0,resp1,test2,Predictive,NonPhrase,NA
47,11,EightyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
48,12,EightyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
50,13,EightyOld,resp1test2,2,1,0,resp1,test2,Predictive,NonPhrase,NA
55,14,EightyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
56,15,EightyOld,resp1test2,2,1,0,resp1,test2,Predictive,NonPhrase,NA
59,16,EightyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
60,17,EightyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
62,18,EightyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
65,19,EightyOld,resp1test2,2,1,0,resp1,test2,Predictive,NonPhrase,NA
100,20,EightyOld,resp1test2,2,1,0,resp1,test2,Predictive,NonPhrase,NA
63,1,SixtyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
64,2,SixtyOld,resp1test2,2,1,0,resp1,test2,Predictive,NonPhrase,NA
67,3,SixtyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
68,4,SixtyOld,resp1test2,2,1,0,resp1,test2,Predictive,NonPhrase,NA
69,5,SixtyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
70,6,SixtyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
71,7,SixtyOld,resp1test2,2,1,0,resp1,test2,Predictive,NonPhrase,NA
72,8,SixtyOld,resp1test2,2,1,0,resp1,test2,Predictive,NonPhrase,NA
73,9,SixtyOld,resp1test2,2,1,0,resp1,test2,Predictive,NonPhrase,NA
74,10,SixtyOld,resp1test2,2,1,0,resp1,test2,Predictive,NonPhrase,NA
75,11,SixtyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
76,12,SixtyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
92,13,SixtyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
95,14,SixtyOld,resp1test2,2,1,0,resp1,test2,Predictive,NonPhrase,NA
102,15,SixtyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
106,16,SixtyOld,resp1test2,2,1,0,resp1,test2,Predictive,NonPhrase,NA
107,17,SixtyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
108,18,SixtyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
109,19,SixtyOld,resp1test2,1,1,1,resp1,test2,Predictive,NonPhrase,NA
111,20,SixtyOld,resp1test2,2,1,0,resp1,test2,Predictive,NonPhrase,NA
77,1,EightyNew,resp2test2,1,2,0,resp2,test2,Predictive,NonPhrase,NA
78,2,EightyNew,resp2test2,2,2,1,resp2,test2,Predictive,NonPhrase,NA
79,3,EightyNew,resp2test2,2,2,1,resp2,test2,Predictive,NonPhrase,NA
81,4,EightyNew,resp2test2,1,2,0,resp2,test2,Predictive,NonPhrase,NA
82,5,EightyNew,resp2test2,1,2,0,resp2,test2,Predictive,NonPhrase,NA
83,6,EightyNew,resp2test2,1,2,0,resp2,test2,Predictive,NonPhrase,NA
84,7,EightyNew,resp2test2,1,2,0,resp2,test2,Predictive,NonPhrase,NA
85,8,EightyNew,resp2test2,2,2,1,resp2,test2,Predictive,NonPhrase,NA
86,9,EightyNew,resp2test2,2,2,1,resp2,test2,Predictive,NonPhrase,NA
87,10,EightyNew,resp2test2,1,2,0,resp2,test2,Predictive,NonPhrase,NA
88,11,EightyNew,resp2test2,2,2,1,resp2,test2,Predictive,NonPhrase,NA
90,12,EightyNew,resp2test2,1,2,0,resp2,test2,Predictive,NonPhrase,NA
91,13,EightyNew,resp2test2,2,2,1,resp2,test2,Predictive,NonPhrase,NA
94,14,EightyNew,resp2test2,1,2,0,resp2,test2,Predictive,NonPhrase,NA
96,15,EightyNew,resp2test2,1,2,0,resp2,test2,Predictive,NonPhrase,NA
101,16,EightyNew,resp2test2,2,2,1,resp2,test2,Predictive,NonPhrase,NA
103,17,EightyNew,resp2test2,1,2,0,resp2,test2,Predictive,NonPhrase,NA
104,18,EightyNew,resp2test2,2,2,1,resp2,test2,Predictive,NonPhrase,NA
105,19,EightyNew,resp2test2,1,2,0,resp2,test2,Predictive,NonPhrase,NA
110,20,EightyNew,resp2test2,1,2,0,resp2,test2,Predictive,NonPhrase,NA
30,1,EightyOld,resp2test2,1,2,0,resp2,test2,Predictive,NonPhrase,NA
31,2,EightyOld,resp2test2,2,2,1,resp2,test2,Predictive,NonPhrase,NA
32,3,EightyOld,resp2test2,1,2,0,resp2,test2,Predictive,NonPhrase,NA
33,4,EightyOld,resp2test2,2,2,1,resp2,test2,Predictive,NonPhrase,NA
34,5,EightyOld,resp2test2,2,2,1,resp2,test2,Predictive,NonPhrase,NA
35,6,EightyOld,resp2test2,1,2,0,resp2,test2,Predictive,NonPhrase,NA
36,7,EightyOld,resp2test2,1,2,0,resp2,test2,Predictive,NonPhrase,NA
37,8,EightyOld,resp2test2,1,2,0,resp2,test2,Predictive,NonPhrase,NA
38,9,EightyOld,resp2test2,2,2,1,resp2,test2,Predictive,NonPhrase,NA
39,10,EightyOld,resp2test2,1,2,0,resp2,test2,Predictive,NonPhrase,NA
47,11,EightyOld,resp2test2,2,2,1,resp2,test2,Predictive,NonPhrase,NA
48,12,EightyOld,resp2test2,2,2,1,resp2,test2,Predictive,NonPhrase,NA
50,13,EightyOld,resp2test2,2,2,1,resp2,test2,Predictive,NonPhrase,NA
55,14,EightyOld,resp2test2,2,2,1,resp2,test2,Predictive,NonPhrase,NA
56,15,EightyOld,resp2test2,2,2,1,resp2,test2,Predictive,NonPhrase,NA
59,16,EightyOld,resp2test2,2,2,1,resp2,test2,Predictive,NonPhrase,NA
60,17,EightyOld,resp2test2,2,2,1,resp2,test2,Predictive,NonPhrase,NA
62,18,EightyOld,resp2test2,1,2,0,resp2,test2,Predictive,NonPhrase,NA
65,19,EightyOld,resp2test2,1,2,0,resp2,test2,Predictive,NonPhrase,NA
100,20,EightyOld,resp2test2,1,2,0,resp2,test2,Predictive,NonPhrase,NA
63,1,SixtyOld,resp2test2,2,1,0,resp2,test2,Predictive,NonPhrase,NA
64,2,SixtyOld,resp2test2,2,1,0,resp2,test2,Predictive,NonPhrase,NA
67,3,SixtyOld,resp2test2,2,1,0,resp2,test2,Predictive,NonPhrase,NA
68,4,SixtyOld,resp2test2,1,1,1,resp2,test2,Predictive,NonPhrase,NA
69,5,SixtyOld,resp2test2,1,1,1,resp2,test2,Predictive,NonPhrase,NA
70,6,SixtyOld,resp2test2,2,1,0,resp2,test2,Predictive,NonPhrase,NA
71,7,SixtyOld,resp2test2,2,1,0,resp2,test2,Predictive,NonPhrase,NA
72,8,SixtyOld,resp2test2,1,1,1,resp2,test2,Predictive,NonPhrase,NA
73,9,SixtyOld,resp2test2,1,1,1,resp2,test2,Predictive,NonPhrase,NA
74,10,SixtyOld,resp2test2,2,1,0,resp2,test2,Predictive,NonPhrase,NA
75,11,SixtyOld,resp2test2,2,1,0,resp2,test2,Predictive,NonPhrase,NA
76,12,SixtyOld,resp2test2,2,1,0,resp2,test2,Predictive,NonPhrase,NA
92,13,SixtyOld,resp2test2,2,1,0,resp2,test2,Predictive,NonPhrase,NA
95,14,SixtyOld,resp2test2,2,1,0,resp2,test2,Predictive,NonPhrase,NA
102,15,SixtyOld,resp2test2,1,1,1,resp2,test2,Predictive,NonPhrase,NA
106,16,SixtyOld,resp2test2,1,1,1,resp2,test2,Predictive,NonPhrase,NA
107,17,SixtyOld,resp2test2,1,1,1,resp2,test2,Predictive,NonPhrase,NA
108,18,SixtyOld,resp2test2,2,1,0,resp2,test2,Predictive,NonPhrase,NA
109,19,SixtyOld,resp2test2,2,1,0,resp2,test2,Predictive,NonPhrase,NA
111,20,SixtyOld,resp2test2,1,1,1,resp2,test2,Predictive,NonPhrase,NA
77,1,EightyNew,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
78,2,EightyNew,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
79,3,EightyNew,resp3test2,2,1,0,resp3,test2,Predictive,NonPhrase,NA
81,4,EightyNew,resp3test2,2,1,0,resp3,test2,Predictive,NonPhrase,NA
82,5,EightyNew,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
83,6,EightyNew,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
84,7,EightyNew,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
85,8,EightyNew,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
86,9,EightyNew,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
87,10,EightyNew,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
88,11,EightyNew,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
90,12,EightyNew,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
91,13,EightyNew,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
94,14,EightyNew,resp3test2,2,1,0,resp3,test2,Predictive,NonPhrase,NA
96,15,EightyNew,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
101,16,EightyNew,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
103,17,EightyNew,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
104,18,EightyNew,resp3test2,2,1,0,resp3,test2,Predictive,NonPhrase,NA
105,19,EightyNew,resp3test2,2,1,0,resp3,test2,Predictive,NonPhrase,NA
110,20,EightyNew,resp3test2,2,1,0,resp3,test2,Predictive,NonPhrase,NA
30,1,EightyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
31,2,EightyOld,resp3test2,2,1,0,resp3,test2,Predictive,NonPhrase,NA
32,3,EightyOld,resp3test2,2,1,0,resp3,test2,Predictive,NonPhrase,NA
33,4,EightyOld,resp3test2,2,1,0,resp3,test2,Predictive,NonPhrase,NA
34,5,EightyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
35,6,EightyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
36,7,EightyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
37,8,EightyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
38,9,EightyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
39,10,EightyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
47,11,EightyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
48,12,EightyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
50,13,EightyOld,resp3test2,2,1,0,resp3,test2,Predictive,NonPhrase,NA
55,14,EightyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
56,15,EightyOld,resp3test2,2,1,0,resp3,test2,Predictive,NonPhrase,NA
59,16,EightyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
60,17,EightyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
62,18,EightyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
65,19,EightyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
100,20,EightyOld,resp3test2,2,1,0,resp3,test2,Predictive,NonPhrase,NA
63,1,SixtyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
64,2,SixtyOld,resp3test2,2,1,0,resp3,test2,Predictive,NonPhrase,NA
67,3,SixtyOld,resp3test2,2,1,0,resp3,test2,Predictive,NonPhrase,NA
68,4,SixtyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
69,5,SixtyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
70,6,SixtyOld,resp3test2,2,1,0,resp3,test2,Predictive,NonPhrase,NA
71,7,SixtyOld,resp3test2,2,1,0,resp3,test2,Predictive,NonPhrase,NA
72,8,SixtyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
73,9,SixtyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
74,10,SixtyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
75,11,SixtyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
76,12,SixtyOld,resp3test2,2,1,0,resp3,test2,Predictive,NonPhrase,NA
92,13,SixtyOld,resp3test2,2,1,0,resp3,test2,Predictive,NonPhrase,NA
95,14,SixtyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
102,15,SixtyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
106,16,SixtyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
107,17,SixtyOld,resp3test2,2,1,0,resp3,test2,Predictive,NonPhrase,NA
108,18,SixtyOld,resp3test2,1,1,1,resp3,test2,Predictive,NonPhrase,NA
109,19,SixtyOld,resp3test2,2,1,0,resp3,test2,Predictive,NonPhrase,NA
111,20,SixtyOld,resp3test2,2,1,0,resp3,test2,Predictive,NonPhrase,NA
77,1,EightyNew,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
78,2,EightyNew,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
79,3,EightyNew,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
81,4,EightyNew,resp4test2,2,1,0,resp4,test2,Predictive,NonPhrase,NA
82,5,EightyNew,resp4test2,2,1,0,resp4,test2,Predictive,NonPhrase,NA
83,6,EightyNew,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
84,7,EightyNew,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
85,8,EightyNew,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
86,9,EightyNew,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
87,10,EightyNew,resp4test2,2,1,0,resp4,test2,Predictive,NonPhrase,NA
88,11,EightyNew,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
90,12,EightyNew,resp4test2,2,1,0,resp4,test2,Predictive,NonPhrase,NA
91,13,EightyNew,resp4test2,2,1,0,resp4,test2,Predictive,NonPhrase,NA
94,14,EightyNew,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
96,15,EightyNew,resp4test2,2,1,0,resp4,test2,Predictive,NonPhrase,NA
101,16,EightyNew,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
103,17,EightyNew,resp4test2,2,1,0,resp4,test2,Predictive,NonPhrase,NA
104,18,EightyNew,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
105,19,EightyNew,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
110,20,EightyNew,resp4test2,2,1,0,resp4,test2,Predictive,NonPhrase,NA
30,1,EightyOld,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
31,2,EightyOld,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
32,3,EightyOld,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
33,4,EightyOld,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
34,5,EightyOld,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
35,6,EightyOld,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
36,7,EightyOld,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
37,8,EightyOld,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
38,9,EightyOld,resp4test2,2,1,0,resp4,test2,Predictive,NonPhrase,NA
39,10,EightyOld,resp4test2,2,1,0,resp4,test2,Predictive,NonPhrase,NA
47,11,EightyOld,resp4test2,2,1,0,resp4,test2,Predictive,NonPhrase,NA
48,12,EightyOld,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
50,13,EightyOld,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
55,14,EightyOld,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
56,15,EightyOld,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
59,16,EightyOld,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
60,17,EightyOld,resp4test2,2,1,0,resp4,test2,Predictive,NonPhrase,NA
62,18,EightyOld,resp4test2,1,1,1,resp4,test2,Predictive,NonPhrase,NA
65,19,EightyOld,resp4test2,2,1,0,resp4,test2,Predictive,NonPhrase,NA
100,20,EightyOld,resp4test2,2,1,0,resp4,test2,Predictive,NonPhrase,NA
63,1,SixtyOld,resp4test2,1,2,0,resp4,test2,Predictive,NonPhrase,NA
64,2,SixtyOld,resp4test2,1,2,0,resp4,test2,Predictive,NonPhrase,NA
67,3,SixtyOld,resp4test2,2,2,1,resp4,test2,Predictive,NonPhrase,NA
68,4,SixtyOld,resp4test2,1,2,0,resp4,test2,Predictive,NonPhrase,NA
69,5,SixtyOld,resp4test2,1,2,0,resp4,test2,Predictive,NonPhrase,NA
70,6,SixtyOld,resp4test2,2,2,1,resp4,test2,Predictive,NonPhrase,NA
71,7,SixtyOld,resp4test2,1,2,0,resp4,test2,Predictive,NonPhrase,NA
72,8,SixtyOld,resp4test2,1,2,0,resp4,test2,Predictive,NonPhrase,NA
73,9,SixtyOld,resp4test2,2,2,1,resp4,test2,Predictive,NonPhrase,NA
74,10,SixtyOld,resp4test2,2,2,1,resp4,test2,Predictive,NonPhrase,NA
75,11,SixtyOld,resp4test2,1,2,0,resp4,test2,Predictive,NonPhrase,NA
76,12,SixtyOld,resp4test2,1,2,0,resp4,test2,Predictive,NonPhrase,NA
92,13,SixtyOld,resp4test2,2,2,1,resp4,test2,Predictive,NonPhrase,NA
95,14,SixtyOld,resp4test2,1,2,0,resp4,test2,Predictive,NonPhrase,NA
102,15,SixtyOld,resp4test2,2,2,1,resp4,test2,Predictive,NonPhrase,NA
106,16,SixtyOld,resp4test2,1,2,0,resp4,test2,Predictive,NonPhrase,NA
107,17,SixtyOld,resp4test2,1,2,0,resp4,test2,Predictive,NonPhrase,NA
108,18,SixtyOld,resp4test2,2,2,1,resp4,test2,Predictive,NonPhrase,NA
109,19,SixtyOld,resp4test2,2,2,1,resp4,test2,Predictive,NonPhrase,NA
111,20,SixtyOld,resp4test2,1,2,0,resp4,test2,Predictive,NonPhrase,NA
77,1,EightyNew,resp5test2,2,2,1,resp5,test2,Predictive,NonPhrase,NA
78,2,EightyNew,resp5test2,2,2,1,resp5,test2,Predictive,NonPhrase,NA
79,3,EightyNew,resp5test2,2,2,1,resp5,test2,Predictive,NonPhrase,NA
81,4,EightyNew,resp5test2,1,2,0,resp5,test2,Predictive,NonPhrase,NA
82,5,EightyNew,resp5test2,1,2,0,resp5,test2,Predictive,NonPhrase,NA
83,6,EightyNew,resp5test2,2,2,1,resp5,test2,Predictive,NonPhrase,NA
84,7,EightyNew,resp5test2,2,2,1,resp5,test2,Predictive,NonPhrase,NA
85,8,EightyNew,resp5test2,2,2,1,resp5,test2,Predictive,NonPhrase,NA
86,9,EightyNew,resp5test2,2,2,1,resp5,test2,Predictive,NonPhrase,NA
87,10,EightyNew,resp5test2,1,2,0,resp5,test2,Predictive,NonPhrase,NA
88,11,EightyNew,resp5test2,2,2,1,resp5,test2,Predictive,NonPhrase,NA
90,12,EightyNew,resp5test2,1,2,0,resp5,test2,Predictive,NonPhrase,NA
91,13,EightyNew,resp5test2,2,2,1,resp5,test2,Predictive,NonPhrase,NA
94,14,EightyNew,resp5test2,2,2,1,resp5,test2,Predictive,NonPhrase,NA
96,15,EightyNew,resp5test2,2,2,1,resp5,test2,Predictive,NonPhrase,NA
101,16,EightyNew,resp5test2,1,2,0,resp5,test2,Predictive,NonPhrase,NA
103,17,EightyNew,resp5test2,2,2,1,resp5,test2,Predictive,NonPhrase,NA
104,18,EightyNew,resp5test2,1,2,0,resp5,test2,Predictive,NonPhrase,NA
105,19,EightyNew,resp5test2,1,2,0,resp5,test2,Predictive,NonPhrase,NA
110,20,EightyNew,resp5test2,2,2,1,resp5,test2,Predictive,NonPhrase,NA
30,1,EightyOld,resp5test2,2,2,1,resp5,test2,Predictive,NonPhrase,NA
31,2,EightyOld,resp5test2,1,2,0,resp5,test2,Predictive,NonPhrase,NA
32,3,EightyOld,resp5test2,2,2,1,resp5,test2,Predictive,NonPhrase,NA
33,4,EightyOld,resp5test2,1,2,0,resp5,test2,Predictive,NonPhrase,NA
